row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
2740,2740,0000101010110100,0.70913541,0.01081138,6,0.58902730
2741,2741,0000101010110101,0.77641667,0.03864270,7,0.63603024
2742,2742,0000101010110110,0.82215625,0.13408720,7,0.68081538
2743,2743,0000101010110111,0.86054167,0.01224847,8,0.70041918
2744,2744,0000101010111000,0.75495312,0.02109589,6,0.63474216
2745,2745,0000101010111001,0.81470833,0.04881714,7,0.67422016
2746,2746,0000101010111010,0.84448958,0.01324136,7,0.70435717
2747,2747,0000101010111011,0.88101042,0.01267709,8,0.72088365
2748,2748,0000101010111100,0.80030208,0.01392744,7,0.66016281
2749,2749,0000101010111101,0.84779687,0.04166727,8,0.68738020
2750,2750,0000101010111110,0.87310938,0.05345263,8,0.71257485
2751,2751,0000101010111111,0.89846354,0.01306185,9,0.71833292
2752,2752,0000101011000000,0.50909896,0.00851494,4,0.42901381
2753,2753,0000101011000001,0.62894792,0.03951887,5,0.52855273
2754,2754,0000101011000010,0.69666146,0.01341785,5,0.59652728
2755,2755,0000101011000011,0.76964063,0.01088211,6,0.64953181
2756,2756,0000101011000100,0.61552604,0.00918716,5,0.51543417
2757,2757,0000101011000101,0.71343750,0.01970063,6,0.59324050
2758,2758,0000101011000110,0.77115104,0.04654717,6,0.65068557
2759,2759,0000101011000111,0.82230208,0.04228938,7,0.68187919
2760,2760,0000101011001000,0.65351562,0.06122010,5,0.55290342
2761,2761,0000101011001001,0.74073438,0.13023353,6,0.61943204
2762,2762,0000101011001010,0.78709375,0.05306646,6,0.66656308
2763,2763,0000101011001011,0.83521875,0.01208961,7,0.69509785
2764,2764,0000101011001100,0.73099479,0.03899591,6,0.61060483
2765,2765,0000101011001101,0.79683333,0.04407144,7,0.65639262
2766,2766,0000101011001110,0.83331250,0.14303404,7,0.69188216
2767,2767,0000101011001111,0.86927084,0.05965922,8,0.70867424
2768,2768,0000101011010000,0.65672917,0.03642363,5,0.55636493
